geneId,geneSymbol,geneName,AlteredExpression,Biomarker,GeneticVariation,PostTranslationalModification,Therapeutic,diseaseId,diseaseName,score,NumberOfPubmeds,associationType
540,ATP7B,"ATPase, Cu++ transporting, beta polypeptide",1.0,1.0,1.0,0.0,0.0,19202,Hepatolenticular Degeneration,0.97260683,200,"AlteredExpression, Biomarker, GeneticVariation"
4160,MC4R,melanocortin 4 receptor,0.0,1.0,1.0,0.0,0.0,28754,Obesity,0.94,264,"Biomarker, GeneticVariation"
3667,IRS1,insulin receptor substrate 1,0.0,1.0,1.0,0.0,0.0,11860,"Diabetes Mellitus, Type 2",0.907216439,112,"Biomarker, GeneticVariation"
4204,MECP2,methyl CpG binding protein 2,1.0,1.0,1.0,1.0,0.0,35372,Rett Syndrome,0.9,498,"AlteredExpression, Biomarker, GeneticVariation, PostTranslationalModification"
1080,CFTR,"cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)",1.0,1.0,1.0,0.0,0.0,10674,Cystic Fibrosis,0.9,1074,"AlteredExpression, Biomarker, GeneticVariation"
5621,PRNP,prion protein,1.0,1.0,1.0,0.0,0.0,22336,Creutzfeldt-Jakob Syndrome,0.884360623,272,"AlteredExpression, Biomarker, GeneticVariation"
2332,FMR1,fragile X mental retardation 1,1.0,1.0,1.0,0.0,0.0,16667,Fragile X Syndrome,0.880361233,523,"AlteredExpression, Biomarker, GeneticVariation"
3815,KIT,v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog,1.0,1.0,1.0,0.0,0.0,238198,Gastrointestinal Stromal Tumors,0.879390148,621,"AlteredExpression, Biomarker, GeneticVariation"
4210,MEFV,Mediterranean fever,1.0,1.0,1.0,0.0,0.0,31069,Familial Mediterranean Fever,0.870270925,323,"AlteredExpression, Biomarker, GeneticVariation"
6331,SCN5A,"sodium channel, voltage gated, type V alpha subunit",0.0,1.0,1.0,0.0,0.0,1142166,Brugada Syndrome,0.869105314,183,"Biomarker, GeneticVariation"
1756,DMD,dystrophin,1.0,1.0,1.0,0.0,0.0,13264,"Muscular Dystrophy, Duchenne",0.865413064,510,"AlteredExpression, Biomarker, GeneticVariation"
2200,FBN1,fibrillin 1,1.0,1.0,1.0,0.0,0.0,24796,Marfan Syndrome,0.858256352,289,"AlteredExpression, Biomarker, GeneticVariation"
551,AVP,arginine vasopressin,0.0,1.0,1.0,0.0,0.0,687720,"Diabetes Insipidus, Neurogenic",0.855107808,76,"Biomarker, GeneticVariation"
351,APP,amyloid beta (A4) precursor protein,1.0,1.0,1.0,1.0,0.0,2395,Alzheimer Disease,0.852707275,215,"AlteredExpression, Biomarker, GeneticVariation, PostTranslationalModification"
5314,PKHD1,polycystic kidney and hepatic disease 1 (autosomal recessive),1.0,1.0,1.0,0.0,0.0,85548,"Polycystic Kidney, Autosomal Recessive",0.850728214,60,"AlteredExpression, Biomarker, GeneticVariation"
5781,PTPN11,"protein tyrosine phosphatase, non-receptor type 11",1.0,1.0,1.0,0.0,0.0,28326,Noonan Syndrome,0.849717283,161,"AlteredExpression, Biomarker, GeneticVariation"
472,ATM,ATM serine/threonine kinase,1.0,1.0,1.0,0.0,0.0,4135,Ataxia Telangiectasia,0.844353946,371,"AlteredExpression, Biomarker, GeneticVariation"
